id,company,position,role_track,location,industry,Job_Description
1,Syfe,Data Analyst,Data Analytics,Singapore,Fintech SME,"Syfe is a digital investment platform seeking a Data Analyst. You will write SQL queries to extract and analyse user transaction and portfolio data from our data warehouse. Daily responsibilities include building and maintaining Power BI dashboards to track platform KPIs such as assets under management and user retention. You will use Python and pandas to clean and transform raw datasets, produce weekly data reports, and create data visualisations for the product and operations teams. Requirements: Degree in Business Analytics or Information Systems. Strong SQL skills mandatory. Python preferred. Power BI or Tableau experience an advantage."
2,StashAway,Business Intelligence Analyst,Data Analytics,Singapore,Fintech SME,"StashAway is looking for a Business Intelligence Analyst. You will design and maintain BI dashboards in Tableau to track user acquisition and retention metrics. Responsibilities include writing complex SQL queries, building automated Python scripts for recurring reporting tasks, and presenting data insights through clear data visualisations to non-technical stakeholders. Requirements: Degree in Business Analytics or Computer Science. Strong SQL and Python skills. Experience with Tableau or Power BI. Excellent data visualisation skills."
3,Instarem,Payments Data Analyst,Data Analytics,Singapore,Fintech SME,"Instarem is seeking a Payments Data Analyst. You will analyse transaction data across payment corridors to identify trends and failure rates using SQL. You will build Power BI dashboards tracking payment success rates, use Python to automate data extraction, and prepare monthly data quality reports with clear data visualisations for the operations team. Requirements: Degree in Data Science or Business Analytics. Proficient in SQL and Python. Familiarity with Power BI. Strong analytical skills."
4,Nium,Data Operations Analyst,Data Analytics,Singapore,Fintech SME,"Nium is looking for a Data Operations Analyst. You will monitor daily transaction volumes using SQL, maintain Power BI dashboards for the operations team, use Python to automate repetitive data tasks, and build data visualisation reports summarising operational performance for senior management. You will also document data workflows and support the engineering team in resolving pipeline failures. Requirements: Degree in Information Systems or Business Analytics. Strong SQL skills. Python preferred. Power BI experience preferred."
5,Liquid Group,Product Analytics Analyst,Data Analytics,Singapore,Fintech SME,"Liquid Group is seeking a Product Analytics Analyst. You will analyse user behaviour and transaction data using SQL and Python, build cohort analysis reports to track retention and churn, maintain product KPI dashboards in Tableau, and present findings through data visualisations in weekly performance decks. Requirements: Degree in Business Analytics or Data Science. Proficient in SQL and Python. Experience with Tableau or Power BI. Strong data visualisation and storytelling skills."
6,Coda Payments,Revenue Analytics Analyst,Data Analytics,Singapore,Fintech SME,"Coda Payments is seeking a Revenue Analytics Analyst. You will analyse payment success rates and revenue trends using SQL, build revenue KPI dashboards in Power BI, support monthly reconciliation using Python and Excel, and produce data visualisation reports on pricing performance for the commercial team. Requirements: Degree in Business Analytics or Finance. Strong SQL and Excel. Power BI experience. Python a plus. Strong numerical and data visualisation skills."
7,Atome,Growth Analytics Analyst,Data Analytics,Singapore,Fintech SME,"Atome is seeking a Growth Analytics Analyst. You will analyse customer acquisition and retention data using SQL and Python, build cohort and funnel reports to measure campaign performance, maintain growth dashboards in Tableau, and prepare data visualisation summaries for the CMO. Requirements: Degree in Business Analytics or Data Science. Strong SQL and Python. Tableau or Power BI experience. Strong data visualisation and analytical thinking skills."
8,Validus Capital,Data Insights Analyst,Data Analytics,Singapore,Fintech SME,"Validus Capital is seeking a Data Insights Analyst. You will write SQL queries to extract and analyse loan performance data, build Power BI dashboards tracking portfolio KPIs, use Python to automate data extraction, and create data visualisation reports for the risk and management teams. Requirements: Degree in Information Systems or Business Analytics. Strong SQL and Python. Familiarity with Power BI. Data visualisation experience preferred."
9,Aspire,Analytics Engineer,Data Analytics,Singapore,Fintech SME,"Aspire is seeking an Analytics Engineer. You will build and maintain data pipelines using Python, write SQL queries to validate data integrity across the data warehouse, create Power BI dashboards for the finance and operations teams, and build data visualisation templates for recurring reports. Requirements: Degree in Computer Science or Information Systems. Strong Python and SQL. Familiarity with Power BI or Tableau. Data pipeline experience a plus."
10,Fazz Financial,Data Reporting Analyst,Data Analytics,Singapore,Fintech SME,"Fazz Financial is seeking a Data Reporting Analyst. You will build and maintain Power BI dashboards, write SQL queries to extract operational and financial data, use Python to automate recurring reports, and create data visualisations for monthly business performance decks. Requirements: Degree in Business Analytics or Finance. Strong SQL and Excel. Power BI experience. Python scripting a plus."
11,Funding Societies,Finance Analyst,Finance,Singapore,Fintech SME,"Funding Societies is seeking a Finance Analyst. You will support month-end financial reporting using Excel, build financial models to analyse loan portfolio performance, prepare MAS-compliant regulatory reports, and reconcile disbursement and repayment data against accounting records. Requirements: Degree in Finance or Accounting. Strong Excel skills including financial modelling. Familiarity with MAS regulatory reporting. Strong numerical skills."
12,Validus Capital,Credit Analyst,Finance,Singapore,Fintech SME,"Validus Capital is seeking a Credit Analyst. You will build and validate credit scoring models using Excel and Python, analyse loan repayment data to identify early default signals, prepare monthly credit risk reports, and model portfolio exposure scenarios. Requirements: Degree in Finance or Statistics. Strong Excel skills including financial modelling. Compliance awareness. Python knowledge an advantage."
13,Aspire,FX Operations Analyst,Finance,Singapore,Fintech SME,"Aspire is seeking an FX Operations Analyst. You will monitor daily FX transaction data using Excel, maintain financial models tracking FX margin performance, prepare month-end reconciliation of FX positions, and assist in MAS regulatory submissions. Requirements: Degree in Finance or Economics. Strong Excel skills. Financial modelling experience. Familiarity with MAS compliance reporting."
14,Kredivo,Risk Finance Analyst,Finance,Singapore,Fintech SME,"Kredivo is seeking a Risk Finance Analyst. You will build and maintain financial models in Excel to analyse credit risk exposure, prepare monthly risk reporting for the risk committee, monitor portfolio KPIs including delinquency rates, and assist in MAS regulatory reporting for consumer credit products. Requirements: Degree in Finance or Accounting. Strong Excel and financial modelling skills. Familiarity with MAS regulatory requirements. Strong attention to detail."
15,Wallex,Treasury Finance Analyst,Finance,Singapore,Fintech SME,"Wallex is seeking a Treasury Finance Analyst. You will maintain Excel financial models tracking liquidity positions and FX exposure, prepare daily and monthly financial reports for the CFO, assist in MAS regulatory submissions, and reconcile treasury transactions against bank statements. Requirements: Degree in Finance or Accounting. Strong Excel including advanced financial modelling. Knowledge of MAS regulatory reporting. Compliance awareness."
16,Coda Payments,Financial Reporting Analyst,Finance,Singapore,Fintech SME,"Coda Payments is seeking a Financial Reporting Analyst. You will prepare monthly financial statements using Excel, build financial models to track revenue performance, assist in MAS-compliant regulatory filings, and reconcile revenue data between payment systems and accounting records. Requirements: Degree in Accounting or Finance. Strong Excel and financial modelling. Familiarity with MAS compliance reporting. Strong attention to accuracy."
17,Nium,Finance Operations Analyst,Finance,Singapore,Fintech SME,"Nium is seeking a Finance Operations Analyst. You will prepare monthly financial reconciliation reports using Excel, build financial models to track cross-border payment revenue and cost margins, assist in MAS regulatory submissions, and maintain compliance tracking documentation. Requirements: Degree in Finance or Accounting. Strong Excel including financial modelling. Knowledge of MAS regulatory requirements. Compliance-oriented."
18,Syfe,Investment Finance Analyst,Finance,Singapore,Fintech SME,"Syfe is seeking an Investment Finance Analyst. You will build and maintain Excel financial models to track portfolio performance and fee revenue, prepare monthly investor reporting, assist in MAS regulatory filings, and reconcile financial data between the investment platform and custodian records. Requirements: Degree in Finance or Economics. Strong Excel and financial modelling. Familiarity with MAS regulatory and compliance reporting."
19,Instarem,Compliance Finance Analyst,Finance,Singapore,Fintech SME,"Instarem is seeking a Compliance Finance Analyst. You will prepare transaction data for MAS regulatory submissions using Excel, maintain compliance tracking sheets, assist in AML reporting, and document financial data lineage for audit purposes. Requirements: Degree in Finance or Accounting. Strong Excel. Familiarity with MAS compliance and AML reporting requirements. Detail-oriented."
20,StashAway,Finance Business Analyst,Finance,Singapore,Fintech SME,"StashAway is seeking a Finance Business Analyst. You will build financial models in Excel to evaluate new product economics, prepare monthly financial performance reports, assist in MAS regulatory filings, reconcile financial and operational data, and support budgeting and forecasting. Requirements: Degree in Finance or Business. Strong Excel and financial modelling. Familiarity with MAS regulatory requirements. Analytical mindset."
21,Matchmove,Operations Analyst,Operations,Singapore,Fintech SME,"Matchmove is seeking an Operations Analyst. You will monitor daily payment transaction volumes using Power BI dashboards, maintain Excel-based operational trackers for client onboarding and settlement status, prepare weekly operational reports, and map and document key operational processes to identify bottlenecks. Requirements: Degree in Business or Operations Management. Strong Excel. Familiarity with Power BI. Process mapping and documentation skills. Detail-oriented."
22,YouTrip,Payments Operations Analyst,Operations,Singapore,Fintech SME,"YouTrip is seeking a Payments Operations Analyst. You will monitor daily card transaction data using Power BI dashboards, maintain Excel trackers for operational KPIs, prepare monthly MAS regulatory reports, and document standard operating procedures for recurring operational tasks. Requirements: Degree in Business or Finance. Strong Excel. Familiarity with Power BI. Process mapping experience preferred."
23,Liquid Group,Operations Reporting Analyst,Operations,Singapore,Fintech SME,"Liquid Group is seeking an Operations Reporting Analyst. You will prepare weekly and monthly operational performance reports using Excel and Power BI, document and map key business processes, maintain compliance reporting trackers, and support MAS regulatory submissions. Requirements: Degree in Business or Operations Management. Strong Excel and Power BI. Process mapping and reporting experience. Compliance documentation skills."
24,Razer Fintech,Compliance Operations Analyst,Operations,Singapore,Fintech SME,"Razer Fintech is seeking a Compliance Operations Analyst. You will monitor operational compliance KPIs using Power BI dashboards, maintain Excel trackers for AML alert rates, prepare MAS compliance reports, and document compliance operational workflows. Requirements: Degree in Business or Information Systems. Strong Excel. Familiarity with Power BI. Process mapping and compliance documentation experience."
25,Fazz Financial,Business Operations Analyst,Operations,Singapore,Fintech SME,"Fazz Financial is seeking a Business Operations Analyst. You will maintain operational performance dashboards in Power BI, prepare monthly operations reports using Excel, map and document business processes for payment and lending operations, and assist in MAS regulatory submissions. Requirements: Degree in Business or Operations. Strong Excel and Power BI. Process mapping experience. Compliance reporting awareness."
26,Aspire,Operations Process Analyst,Operations,Singapore,Fintech SME,"Aspire is seeking an Operations Process Analyst. You will map and document end-to-end operational workflows for payment processes, maintain Excel and Power BI dashboards tracking operational KPIs, prepare weekly operational reports, and identify process bottlenecks. Requirements: Degree in Business or Information Systems. Strong Excel. Familiarity with Power BI. Process mapping experience. Detail-oriented."
27,Funding Societies,Lending Operations Analyst,Operations,Singapore,Fintech SME,"Funding Societies is seeking a Lending Operations Analyst. You will monitor daily loan disbursement and repayment operations using Power BI dashboards, maintain Excel trackers for operational KPIs, prepare weekly reports, and document lending process workflows. Requirements: Degree in Business or Finance. Strong Excel. Familiarity with Power BI. Process mapping and operational documentation preferred."
28,Kredivo,Consumer Operations Analyst,Operations,Singapore,Fintech SME,"Kredivo is seeking a Consumer Operations Analyst. You will maintain Power BI dashboards tracking customer operations KPIs, prepare monthly operational reports using Excel, document and map consumer lending workflows, and support MAS compliance reporting. Requirements: Degree in Business or Information Systems. Strong Excel and Power BI. Process mapping experience. Compliance reporting awareness."
29,Instarem,Settlement Operations Analyst,Operations,Singapore,Fintech SME,"Instarem is seeking a Settlement Operations Analyst. You will monitor daily FX settlement operations using Power BI dashboards, maintain Excel trackers for settlement failure rates, prepare weekly settlement reports, and document settlement process workflows. Requirements: Degree in Business or Finance. Strong Excel. Familiarity with Power BI. Process documentation experience."
30,Nium,Global Operations Analyst,Operations,Singapore,Fintech SME,"Nium is seeking a Global Operations Analyst. You will maintain operational KPI dashboards in Power BI tracking corridor performance, prepare weekly and monthly operational reports using Excel, map end-to-end payment processing workflows, and support MAS compliance reporting. Requirements: Degree in Business or Information Systems. Strong Excel and Power BI. Process mapping experience. Compliance reporting awareness."